,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,2025 Token Launches Performance,,,,,,,,
,Ticker,Name,Current FDV,Current MC,24H Volume,Remarks,Starting FDV,Starting MC,Change in FDV
,SYND,Syndicate,"$59,826,220","$28,638,812","$4,169,205",H2,"$940,000,000","$889,080,000",-93.64%
,ANIME,Animecoin,"$55,743,552","$30,874,150","$5,409,959",H1,"$870,000,000","$996,938,640",-93.59%
,BERA,Berachain,"$305,002,274","$80,757,750","$17,617,146",H1,"$4,464,011,057","$2,055,000,000",-93.17%
,BIO,Bio Protocol,"$143,036,313","$76,246,366","$20,266,159",H1,"$2,058,400,000","$973,400,000",-93.05%
,XTER,Xterio,"$30,044,243","$4,289,899","$5,977,513",H1,"$420,000,000","$59,976,000",-92.85%
,LITKEY,Lit Protocol,"$16,654,625","$3,664,018","$1,505,195",H2,"$210,000,000","$47,000,000",-92.07%
,YALA,Yala,"$20,141,031","$5,410,900","$1,003,651",H2,"$240,000,000","$56,000,000",-91.61%
,TOWNS,Towns,"$60,721,364","$12,646,048","$12,428,936",H2,"$691,765,167","$93,339,831",-91.22%
,NIL,Nillion,"$63,317,909","$17,852,252","$19,338,809",H1,"$720,000,000","$140,000,000",-91.21%
,MIRA,Mira,"$125,367,659","$25,562,570","$5,935,701",H2,"$1,400,000,000","$272,000,000",-91.05%
,VVV,Venice Token,"$112,362,917","$61,694,005","$7,677,405",H1,"$1,226,000,000","$306,500,000",-90.83%
,ZBT,ZEROBASE,"$77,973,755","$19,102,961","$16,018,430",H2,"$830,000,000","$158,000,000",-90.61%
,EPT,Balance,"$15,984,184","$3,702,869","$1,627,393",H1,"$170,000,000","$25,500,000",-90.60%
,GPS,GoPlus Security,"$48,840,211","$19,296,713","$3,173,880",H1,"$500,000,000","$157,000,000",-90.23%
,XAN,Anoma,"$156,157,130","$39,039,283","$22,304,001",H2,"$1,596,000,000","$399,000,000",-90.22%
,XPL,Plasma,"$1,305,571,998","$258,213,128","$123,496,961",H2,"$12,970,000,000","$2,334,600,000",-89.93%
,TREE,Tree,"$71,409,770","$16,017,037","$21,722",H2,"$670,000,000","$105,000,000",-89.34%
,ZKC,Boundless,"$102,849,591","$22,398,907","$19,362,053",H2,"$957,635,682","$155,000,000",-89.26%
,CAMP,Camp Network,"$69,395,587","$14,573,073","$7,369,483",H2,"$637,000,000","$133,770,000",-89.11%
,RECALL,Recall,"$91,451,859","$66,092,726","$11,379,983",H2,"$790,000,000","$200,000,000",-88.42%
,SOLV,Solv Protocol,"$127,894,386","$22,573,359","$5,984,335",H1,"$1,092,000,000","$198,000,000",-88.29%
,PLUME,Plume,"$158,040,625","$49,558,592","$9,933,055",H1,"$1,300,000,000","$260,000,000",-87.84%
,LAYER,Solayer,"$171,899,114","$36,098,814","$21,412,553",H1,"$1,400,000,000","$308,000,000",-87.72%
,INIT,Initia,"$85,018,315","$15,080,797","$10,343,110",H1,"$680,000,000","$91,800,000",-87.50%
,SHELL,MyShell,"$45,031,155","$12,158,412","$13,189,296",H1,"$360,000,000","$61,839,946",-87.49%
,KERNEL,KernelDAO,"$61,938,853","$14,664,598","$7,671,289",H1,"$473,000,000","$76,776,175",-86.91%
,GUN,Gunz,"$130,791,047","$18,044,805","$11,597,261",H1,"$996,000,000","$60,208,200",-86.87%
,FF,Falcon Finance,"$949,670,763","$222,222,959","$14,467,350",H2,"$6,700,000,000","$1,567,800,000",-85.83%
,ALLO,Allora,"$85,631,065","$22,388,431","$12,851,742",H2,"$589,311,029","$150,375,000",-85.47%
,SUPER,SuperVerse,"$223,850,428","$142,629,557","$11,612,952",H2,"$1,530,000,000","$159,000,000",-85.37%
,SAHARA,Sahara AI,"$272,634,143","$67,104,918","$10,038,146",H1,"$1,800,000,000","$288,000,000",-84.85%
,HOLO,Holoworld,"$137,678,241","$23,352,611","$34,602,503",H2,"$901,120,000","$152,845,539",-84.72%
,EDEN,OpenEden,"$63,102,504","$11,602,658","$15,590,559",H2,"$409,000,000","$75,182,830",-84.57%
,ENSO,Enso,"$64,976,906","$13,378,745","$16,778,147",H2,"$419,500,000","$86,374,550",-84.51%
,0G,0G,"$763,595,926","$162,798,439","$29,138,400",H2,"$4,900,000,000","$1,041,000,000",-84.42%
,NEWT,Newton Protocol,"$98,453,388","$21,167,479","$5,367,860",H1,"$610,000,000","$131,150,000",-83.86%
,B3,B3 (Base),"$86,125,123","$27,019,156","$1,852,618",H1,"$530,000,000","$166,271,486",-83.75%
,EVAA,EVAA Protocol,"$41,975,629","$5,555,871","$3,837,318",H2,"$246,500,000","$32,626,602",-82.97%
,NOM,Nomina,"$49,012,311","$20,026,140","$7,690,340",H2,"$285,319,849","$116,580,000",-82.82%
,BLUAI,Bluwhale,"$44,484,717","$5,462,723","$1,452,898",H2,"$250,000,000","$30,400,000",-82.21%
,FLOCK,FLOCK,"$89,701,307","$21,767,583","$3,145,936",H1,"$500,000,000","$50,000,000",-82.06%
,SXT,Space and Time,"$127,261,509","$64,082,854","$5,265,756",H1,"$700,000,000","$219,000,000",-81.82%
,LINEA,Linea,"$457,427,321","$107,884,551","$28,413,792",H2,"$2,505,947,652","$549,840,000",-81.75%
,TANSSI,Tanssi,"$11,531,111","$3,624,456","$9,162,774",H2,"$61,000,000","$9,000,000",-81.10%
,NXPC,Nexpace,"$380,164,335","$86,927,607","$12,258,705",H1,"$1,984,400,000","$453,786,203",-80.84%
,TRUST,Intuition,"$112,443,255","$20,200,187","$19,922,705",H2,"$570,000,000","$105,000,000",-80.27%
,ALMANAK,ALMANAK,"$10,034,619","$2,697,306",,H2,"$50,000,000","$14,572,000",-79.93%
,SOPH,Sophon,"$172,124,210","$34,424,842","$102,605,236",H1,"$800,000,000","$161,370,667",-78.48%
,BABY,Babylon,"$183,390,705","$51,503,650","$10,522,809",H1,"$843,906,614","$195,000,000",-78.27%
,BMT,Bubblemaps,"$22,732,938","$5,823,744","$3,482,400",H1,"$100,000,000","$5,120,000",-77.27%
,GAIB,GAIB,"$37,943,833","$7,772,099","$2,930,791",H2,"$160,000,000","$32,773,067",-76.29%
,WAL,Walrus,"$648,013,623","$200,155,208","$9,695,200",H1,"$2,700,000,000","$691,000,000",-76.00%
,2Z,DoubleZero,"$1,091,870,485","$379,033,831","$15,603,392",H2,"$4,533,000,000","$1,572,951,000",-75.91%
,SWTCH,Switchboard,"$30,648,784","$4,903,805","$8,272,125",H2,"$126,000,000","$20,160,000",-75.68%
,CUDIS,Cudis,"$29,314,155","$7,255,253","$4,238,370",H1,"$120,000,000","$3,712,500",-75.57%
,AT,Apro,"$92,435,198","$21,260,095","$17,964,633",H2,"$368,000,000","$84,640,000",-74.88%
,VOOI,VOOI,"$42,448,162","$5,390,917","$38,923,440",H2,"$164,000,000","$49,856,000",-74.12%
,AIA,DeAgentAI,"$106,984,894","$10,644,997","$4,981,682",H2,"$400,000,000","$40,000,000",-73.25%
,RESOLV,Resolv,"$98,694,325","$35,388,313","$155,052,938",H1,"$350,000,000","$48,593,883",-71.80%
,SPK,Spark,"$207,278,246","$44,267,137","$26,609,018",H1,"$700,000,000","$119,193,911",-70.39%
,U,Union,"$30,991,495","$5,947,423","$5,101,405",H2,"$100,000,000","$21,000,000",-69.01%
,RED,RedStone,"$212,231,002","$63,581,631","$15,434,137",H1,"$680,000,000","$191,000,000",-68.79%
,KAITO,KAITO,"$505,861,673","$122,109,387","$13,098,767",H1,"$1,600,000,000","$386,222,222",-68.38%
,DOOD,Doodles,"$63,673,100","$49,665,018","$17,187,740",H1,"$200,000,000","$80,000,000",-68.16%
,OPEN,OpenLedger,"$169,796,654","$36,591,179","$6,218,093",H2,"$517,000,000","$111,413,500",-67.16%
,PARTI,Particle Network,"$105,922,852","$24,680,024","$25,188,465",H1,"$320,000,000","$384,450,000",-66.90%
,STBL,STBL,"$397,342,486","$19,867,124","$4,000,342",H2,"$1,100,000,000","$58,000,000",-63.88%
,YB,Yield Basis,"$285,259,853","$35,263,671","$24,273,802",H2,"$778,000,000","$63,212,500",-63.33%
,HYPER,Hyperlane,"$100,573,952","$26,602,962","$12,408,630",H1,"$270,000,000","$38,000,000",-62.75%
,PROVE,Succinct,"$374,443,516","$73,016,486","$9,080,380",H2,"$1,000,000,000","$184,000,000",-62.56%
,WCT,WalletConnect Token,"$77,541,090","$14,438,164","$34,886,807",H1,"$200,000,000","$27,000,000",-61.23%
,PUMP,Pump.fun,"$1,979,733,145","$1,168,055,097","$123,548,428",H1,"$5,000,000,000","$2,000,000,000",-60.41%
,HAEDAL,Haedal Protocol,"$38,485,938","$7,504,758","$4,399,369",H1,"$90,000,000","$44,128,500",-57.24%
,LA,Lagrange,"$315,571,743","$60,905,346","$28,441,244",H1,"$730,000,000","$102,000,000",-56.77%
,SIGN,Sign,"$350,026,235","$57,404,303","$8,989,793",H1,"$800,000,000","$97,000,000",-56.25%
,MET,Meteora,"$219,628,124","$106,752,156","$29,276,554",H2,"$500,000,000","$240,000,000",-56.07%
,WLFI,World Liberty Financial,"$13,491,047,425","$3,675,474,321","$131,547,848",H2,"$28,100,000,000","$6,932,270,000",-51.99%
,THQ,Theoriq,"$38,958,746","$5,360,872","$4,503,786",H2,"$75,000,000","$10,320,286",-48.06%
,MMT,Momentum,"$209,580,760","$42,774,474","$47,960,725",H2,"$400,000,000","$40,000,000",-47.60%
,MITO,Mito,"$110,818,032","$17,151,547",$17,H2,"$210,000,000","$45,000,000",-47.23%
,SOMI,Somnia,"$269,560,425","$43,183,580","$18,697,502",H2,"$489,100,000","$78,353,820",-44.89%
,CC,Canton,"$3,028,120,103","$3,028,120,103","$11,724,500",H2,"$5,269,275,454","$5,269,275,454",-42.53%
,BOB,BOB (Build on Bitcoin),"$133,064,059","$29,539,774","$11,590,975",H2,"$230,000,000","$50,000,000",-42.15%
,DOLO,Dolomite,"$34,848,129","$14,514,330","$7,361,218",H1,"$60,000,000","$23,000,000",-41.92%
,ZKP,zkPass,"$119,656,801","$24,130,788","$15,238,294",H2,"$200,000,000","$40,333,333",-40.17%
,ROAM,ROAM Token,"$62,060,275","$20,637,337","$6,400,064",H1,"$100,000,000","$9,000,000",-37.94%
,SAPIEN,Sapien,"$128,407,558","$32,101,890","$9,323,843",H2,"$200,000,000","$50,000,000",-35.80%
,STABLE,​​Stable,"$1,238,477,154","$222,925,888","$65,186,005",H2,"$1,900,000,000","$343,000,000",-34.82%
,KITE,Kite,"$882,235,350","$158,802,363","$32,253,513",H2,"$1,300,000,000","$241,000,000",-32.14%
,AVNT,Avantis,"$260,333,418","$67,219,625","$65,640,862",H2,"$376,000,000","$69,560,000",-30.76%
,HOME,HOME,"$194,652,087","$61,861,515","$17,601,802",H1,"$273,000,000","$72,345,000",-28.70%
,RAVE,RaveDAO,"$441,731,035","$101,730,662","$39,628,266",H2,"$616,000,000","$141,864,806",-28.29%
,BID,CreatorBid,"$26,364,688","$7,179,252","$618,062",H1,"$35,568,000","$35,568,000",-25.88%
,SOON,SOON,"$385,614,968","$149,543,621","$26,092,672",H1,"$511,000,000","$72,000,000",-24.54%
,MON,Monad,"$1,920,274,033","$207,976,881","$201,459,786",H2,"$2,500,000,000","$271,096,000",-23.19%
,HEMI,Hemi,"$162,917,506","$15,925,186","$14,874,566",H2,"$200,000,000","$17,000,000",-18.54%
,BARD,Lombard,"$856,110,276","$192,624,812","$29,223,704",H2,"$1,000,000,000","$236,000,000",-14.39%
,IP,Story,"$1,714,678,535","$571,018,169","$25,626,648",H1,"$1,938,458,822","$565,000,000",-11.54%
,AKE,Akedo,"$37,399,589","$8,525,704","$1,958,183",H2,"$40,000,000","$9,118,500",-6.50%
,LAB,LAB,"$106,401,111","$8,144,590","$10,903,090",H2,"$110,000,000","$3,600,000",-3.27%
,CLO,Yei Finance,"$187,736,668","$24,236,804","$9,849,053",H2,"$170,000,000","$33,000,000",10.43%
,IR,Infrared Finance,"$260,573,265","$53,417,519","$133,793,218",H2,"$230,000,000","$48,000,000",13.29%
,FOLKS,FOLKS,"$215,450,228","$53,406,120","$16,253,569",H2,"$189,500,000","$47,375,000",13.69%
